DarkBlue,9,17,23,43,69,1,19,55,79,87,5,22,35,59,76
DarkBlue,2,13,29,41,63,3,32,42,57,70,8,34,53,61,85
DarkBlue,36,46,54,62,81,7,20,38,52,72,18,30,48,74,80
DarkBlue,4,16,28,45,51,24,58,67,73,84,15,26,49,66,78
DarkBlue,14,44,56,77,86,11,47,65,71,82,6,25,31,50,89
DarkGreen,2,12,36,43,82,24,31,52,68,70,8,10,20,35,83
DarkGreen,5,38,49,53,85,21,34,62,78,88,18,25,33,45,86
DarkGreen,27,42,50,76,84,7,13,40,64,90,17,26,55,67,77
DarkGreen,16,29,32,48,59,9,39,46,51,60,15,28,41,61,73
DarkGreen,6,47,58,69,87,11,23,30,66,72,4,22,54,79,81
DarkCyan,5,15,36,68,72,25,31,53,79,90,4,14,35,57,85
DarkCyan,32,55,66,77,80,3,11,34,47,60,1,29,52,62,86
DarkCyan,27,38,42,50,64,8,18,26,30,75,10,23,56,74,88
DarkCyan,7,13,69,76,84,17,21,48,58,81,6,49,54,61,82
DarkCyan,2,19,43,51,73,24,39,46,70,83,9,59,63,71,89
DarkRed,13,29,38,46,59,4,40,51,66,77,7,16,26,44,86
DarkRed,9,22,36,58,70,28,48,52,63,89,2,27,31,56,60
DarkRed,1,10,20,53,68,14,21,62,75,85,18,32,41,74,83
DarkRed,19,37,65,71,87,3,15,39,54,82,5,12,34,61,73
DarkRed,8,25,50,79,81,23,43,55,76,84,35,47,57,72,88
DarkMagenta,7,22,52,61,81,29,34,47,51,89,1,33,44,58,69
DarkMagenta,6,12,21,57,88,11,40,63,74,84,23,35,45,54,62
DarkMagenta,25,37,49,65,82,4,27,42,60,83,2,10,48,50,85
DarkMagenta,9,32,68,77,90,14,43,66,78,86,8,15,28,71,87
DarkMagenta,5,19,30,55,76,24,46,67,72,80,3,18,39,64,70
DarkYellow,13,48,69,78,88,24,37,47,61,83,27,35,44,58,76
DarkYellow,1,17,49,53,87,4,45,57,65,72,12,26,46,70,81
DarkYellow,25,38,50,64,86,10,22,33,41,62,5,11,21,36,90
DarkYellow,9,32,51,74,89,14,39,40,56,80,7,19,67,79,82
DarkYellow,15,29,34,66,73,6,28,30,54,60,2,18,55,71,84
Gray,15,21,54,77,81,29,49,66,78,87,5,17,61,73,82
Gray,16,42,55,74,85,1,34,59,63,70,6,28,57,68,76
Gray,10,22,35,51,90,9,37,44,53,83,4,23,31,60,88
Gray,2,36,52,67,71,13,32,48,58,65,7,24,39,46,89
Gray,26,38,50,72,84,3,11,47,56,86,8,19,30,41,69
DarkGray,19,28,34,45,68,5,57,60,77,86,11,25,38,62,78
DarkGray,13,32,43,51,70,22,33,46,73,89,14,31,55,76,88
DarkGray,2,15,29,58,85,9,20,30,53,82,26,41,59,64,79
DarkGray,1,10,47,54,72,39,44,50,61,87,4,12,23,42,66
DarkGray,3,17,27,75,84,8,35,49,56,80,16,24,40,52,74
Blue,8,28,57,78,87,12,25,69,71,85,7,39,47,62,86
Blue,4,21,37,65,88,2,20,35,54,60,29,44,64,72,80
Blue,5,19,38,50,79,33,56,66,74,89,6,13,32,52,67
Blue,17,49,55,68,83,9,30,42,59,73,3,27,36,41,53
Blue,22,31,58,63,77,14,34,51,76,81,10,24,46,75,82
Green,5,16,43,53,65,18,33,52,75,87,1,26,40,67,82
Green,9,34,45,69,85,6,14,28,72,80,2,12,23,30,78
Green,3,10,25,32,73,11,41,66,76,88,15,38,49,62,79
Green,19,20,35,46,84,4,17,21,71,86,22,48,50,74,81
Green,31,42,55,63,83,13,27,37,57,60,8,24,54,61,77
Cyan,34,47,53,67,81,1,11,23,59,75,25,38,51,63,85
Cyan,12,28,33,44,56,22,42,57,71,83,8,15,31,69,77
Cyan,4,39,40,55,73,9,24,45,64,76,2,29,37,79,80
Cyan,3,17,32,78,88,6,13,26,35,46,18,21,49,58,89
Cyan,19,20,43,60,72,16,36,65,70,86,14,27,30,48,62
Red,9,11,35,56,88,5,10,46,54,83,17,31,58,63,71
Red,1,27,45,79,90,19,20,61,75,85,24,36,41,53,64
Red,13,44,50,65,80,2,29,47,69,73,3,14,40,51,84
Red,23,48,66,77,81,6,39,62,76,89,18,34,43,67,86
Red,16,33,42,68,78,12,26,38,49,60,8,15,22,30,55
Magenta,8,42,54,64,88,15,36,53,68,78,31,57,60,71,89
Magenta,5,24,59,62,82,14,34,56,61,72,1,10,40,50,67
Magenta,9,17,29,30,43,11,32,65,77,87,19,21,49,55,69
Magenta,18,35,52,73,90,7,12,28,38,75,4,33,51,79,81
Magenta,3,27,37,48,86,39,41,63,74,85,2,26,58,66,83
Yellow,4,19,37,64,70,1,11,46,62,76,29,33,42,67,79
Yellow,27,31,43,73,89,16,21,41,58,82,10,22,40,69,78
Yellow,5,24,47,77,88,3,28,48,53,66,39,57,60,74,80
Yellow,8,38,45,54,71,12,44,50,63,83,9,59,61,72,81
Yellow,6,13,34,52,86,15,25,30,56,85,7,20,35,55,87
